Year,Tests
1945,1
1946,2
1948,3
1949,1
1951,2
1951,15
1951,1
1952,1
1952,10
1953,5
1953,2
1953,11
1954,10
1954,6
1955,6
1955,17
1955,1
1956,9
1956,6
1956,18
1957,16
1957,7
1957,27
1957,5
1958,34
1958,2
1958,5
1958,62
1958,15
1960,3
1960,12
1960,4
1960,49
1961,1
1961,1
1961,58
1961,13
1961,1
1961,6
1961,1
1961,10
1962,1
1962,78
1962,1
1962,2
1962,39
1962,57
1963,3
1963,13
1963,4
1963,4
1963,43
1964,1
1964,3
1964,9
1964,2
1964,45
1965,1
1965,4
1965,3
1965,14
1965,1
1965,38
1966,3
1966,6
1966,1
1966,18
1966,48
1967,2
1967,3
1967,5
1967,17
1967,42
1968,1
1968,5
1968,1
1968,17
1968,56
1969,1
1969,1
1969,5
1969,19
1969,46
1970,1
1970,8
1970,4
1970,16
1970,39
1971,1
1971,5
1971,1
1971,23
1971,24
1972,2
1972,4
1972,1
1972,24
1972,27
1973,1
1973,6
1973,2
1973,17
1973,24
1974,1
1974,9
1974,1
1974,1
1974,21
1974,1
1974,22
1975,1
1975,2
1975,2
1975,19
1975,22
1976,3
1976,1
1976,5
1976,21
1976,1
1976,20
1977,1
1977,9
1977,4
1977,24
1977,20
1978,2
1978,1
1978,11
1978,31
1978,2
1978,19
1979,1
1979,10
1979,1
1979,31
1979,1
1979,15
1980,1
1980,12
1980,1
1980,24
1980,3
1980,14
1981,12
1981,2
1981,21
1981,1
1981,16
1982,1
1982,10
1982,19
1982,1
1982,18
1983,2
1983,9
1983,4
1983,25
1983,1
1983,18
1984,2
1984,8
1984,2
1984,27
1984,2
1984,18
1985,8
1985,10
1985,1
1985,17
1986,8
1986,1
1986,14
1987,1
1987,8
1987,4
1987,23
1987,1
1987,14
1988,1
1988,8
1988,16
1988,15
1989,9
1989,2
1989,7
1989,1
1989,11
1990,2
1990,6
1990,1
1990,1
1990,8
1991,6
1991,1
1991,7
1992,2
1992,6
1993,1
1993,1
1994,2
1995,1
1995,2
1995,5
1995,1
1996,2
1996,1
1997,2
1998,2
1998,2
1998,5
1998,3
1999,1
1999,7
1999,3
2000,5
2000,5
2001,4
2001,2
2002,1
2002,3
2003,2
2006,1
2006,1
2006,1
2009,1
2013,1
2016,2
2017,1
